,Date,Steam,certainty,emphasis,GamersGate,certainty,emphasis,GameStop PC,certainty,emphasis,GamesPlanet UK,certainty,emphasis,GamesPlanet DE,certainty,emphasis,GamesPlanet FR,certainty,emphasis,GamesPlanet US,certainty,emphasis,GreenMan Gaming,certainty,emphasis,GetGames,certainty,emphasis,Amazon,certainty,emphasis,Nuuvem,certainty,emphasis,GameFly,certainty,emphasis,Direct2Drive,certainty,emphasis,Uplay PC,certainty,emphasis,Humble Store,certainty,emphasis,Newegg,certainty,emphasis,FunStock Digital,certainty,emphasis
23,2013-08-11T10:00:00.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,True,False,49.79,True,True,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
24,2013-08-12T10:00:00.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,True,False,49.79,True,True,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
25,2013-08-13T10:00:00.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,True,False,49.79,True,True,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
26,2013-08-14T10:00:00.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,True,False,49.79,True,True,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
27,2013-08-15T19:44:43.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
28,2013-08-16T03:45:07.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
29,2013-08-16T11:44:56.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
30,2013-08-16T19:46:03.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
31,2013-08-17T03:44:42.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
32,2013-08-17T11:44:52.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
33,2013-08-17T19:45:04.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
34,2013-08-18T03:44:52.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
35,2013-08-18T11:44:28.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
36,2013-08-18T19:45:04.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
37,2013-08-19T03:46:04.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
38,2013-08-19T11:45:08.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
39,2013-08-19T19:50:46.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
40,2013-08-20T03:44:57.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
41,2013-08-20T11:44:40.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
42,2013-08-20T19:44:57.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
43,2013-08-21T03:45:08.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
44,2013-08-21T10:45:31.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,50.99,True,True,59.99,False,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
45,2013-08-21T11:45:16.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,50.99,True,True,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
46,2013-08-21T19:45:07.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,50.99,True,True,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
47,2013-08-22T03:44:27.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,50.99,True,True,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
48,2013-08-22T11:44:22.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,50.99,True,True,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
49,2013-08-22T19:45:16.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,50.99,True,True,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
50,2013-08-23T03:45:05.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,50.99,True,True,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
51,2013-08-23T11:45:04.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,50.99,True,True,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
52,2013-08-23T19:44:25.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,True,False,59.99,False,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
53,2013-08-23T19:45:18.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
54,2013-08-24T03:44:32.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
55,2013-08-24T03:44:39.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
56,2013-08-24T11:44:47.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
57,2013-08-24T19:44:52.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
58,2013-08-25T03:44:30.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
59,2013-08-25T11:44:42.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
60,2013-08-25T19:45:16.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
61,2013-08-26T03:44:43.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
62,2013-08-26T11:44:37.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
63,2013-08-26T19:46:38.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
64,2013-08-27T03:44:45.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
65,2013-08-27T11:44:43.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
66,2013-08-27T19:45:16.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
67,2013-08-28T03:44:57.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
68,2013-08-28T11:44:38.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
69,2013-08-28T19:44:42.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
70,2013-08-29T03:44:25.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
71,2013-08-29T11:45:53.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
72,2013-08-29T19:53:54.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
73,2013-08-30T03:45:17.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
74,2013-08-30T18:57:18.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
75,2013-08-31T03:44:25.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
76,2013-08-31T11:44:07.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
77,2013-08-31T19:44:32.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
78,2013-09-01T03:45:05.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
79,2013-09-01T11:45:05.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
80,2013-09-01T19:45:06.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
81,2013-09-02T03:45:04.000Z,59.99,True,False,59.95,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.95,True,False,,False,False,59.99,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False,,False,False
