,Date,GamersGate,certainty,emphasis,GameStop PC,certainty,emphasis,GamesPlanet UK,certainty,emphasis,GamesPlanet DE,certainty,emphasis,GamesPlanet FR,certainty,emphasis,GreenMan Gaming,certainty,emphasis,Amazon,certainty,emphasis,GameFly,certainty,emphasis,Direct2Drive,certainty,emphasis,Origin PC,certainty,emphasis,Uplay PC,certainty,emphasis,FunStock Digital,certainty,emphasis
31,2014-05-22T10:00:00.000Z,59.99,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.99,True,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False
32,2014-05-23T10:00:00.000Z,59.99,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.99,True,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False
33,2014-05-24T10:00:00.000Z,59.99,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.99,True,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False
34,2014-05-25T10:00:00.000Z,59.99,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.99,True,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False
35,2014-05-26T10:00:00.000Z,59.99,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.99,True,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False
36,2014-05-27T10:00:00.000Z,59.99,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.99,True,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False
37,2014-05-28T10:00:00.000Z,59.99,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.99,True,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False
38,2014-05-29T10:00:00.000Z,59.99,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.99,True,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False
39,2014-05-30T10:00:00.000Z,59.99,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.99,True,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False
40,2014-05-31T10:00:00.000Z,59.99,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.99,True,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False
41,2014-06-01T10:00:00.000Z,59.99,True,False,59.99,True,False,,False,False,,False,False,,False,False,59.99,True,False,59.99,True,False,59.99,True,False,,False,False,59.99,True,False,,False,False,,False,False
