,publisher,publisher_standard,count,type,comment
186,Microsoft Corporation,Microsoft,1,major,
187,Tecmo Koei America Corp.,Koei Tecmo,1,mid,
188,MC2 Entertainment,,1,,
189,Compulsion Games,,1,,
190,Alientrap,,1,,
191,1C,,1,,
192,Edmund McMillen,,1,,
193,Jacob Lewandowski,,1,,
194,38 Studios,,1,,
195,superflat games,,1,,
196,Experimental Gameplay,,1,,
197,MagicalTimeBean,,1,,
198,Game Troopers,,1,,
199,BlueGiant Interactive,,1,,
200,The Behemoth,,1,,
201,Havas Interactive,,1,,
202,Egosoft,,1,,
203,Blackpowder Games ,,1,,
204,The Quantum Astrophysicists Guild,,1,,
205,Sega Mobile,,1,,
206,Frogster Interactive,,1,,
207,Namco,Namco Bandai Games,1,major,
208,Hasbro Interactive,,1,,
209,PopTop Software,,1,,
210,Teotl Studios,,1,,
211,UFO Interactive,,1,,
212,Hi-Rez Studios,,1,,
213,Chillingo Ltd,,1,,
214,Hitbox ,,1,,
215,Paradox Development Studio,,1,,
216,EA Sports,EA,1,,
217,Dejobaan Games,,1,,
218,TreeFortress Games,,1,,
219,Amanita Design,,1,,
220,CD Projekt RED S.A.,,1,,
221,The Role Playing Company,,1,,
222,Die Gute Fabrik,,1,,
223,mcro,,1,,
224,1C-Softclub,,1,,
225,ASC Games,,1,,
226,Nkidu Games Inc.,,1,,
227,Russel,,1,,
228,GameMill Entertainment,,1,,
229,thechineseroom,,1,,
230,Yacht Club Games,,1,,
231,En Masse Entertainment,,1,,
232,Turtle Sandbox LLC,,1,,
233,GungHo,,1,,
234,Snowbird Game Studios,,1,,
235,Ragequit Corporation,,1,,
236,Versus Evil,,1,,
237,Gathering,,1,,
238,Auran,,1,,
239,Sierra Games,,1,,
240,Acclaim,,1,,
241,The Adventure Company,,1,,
242,SCEE,,1,,
243,SCEA,,1,,
244,Matt Makes Games Inc.,,1,,
245,damiansommer,,1,,
246,Denby / Raze,,1,,
247,Scott Cawthon,,1,,
248,Tom Happ,,1,,
249,Whole Hog Games,,1,,
250,Mike Bithell,,1,,
251,Nether Productions,,1,,
252,BetaDwarf,,1,,
253,InXile Entertainment,,1,,
254,Galactic Cafe,,1,,
255,Engient,,1,,
256,Twisted Tree,,1,,
257,2tainment,,1,,
258,Harvester Games,,1,,
259,Spry Fox,,1,,
260,Gearbox Software,,1,,
261,Upper One Games,,1,,
262,HeSaw,,1,,
263,Positech Games,,1,,
264,Daniel Walters,,1,,
265,17 Bit,,1,,
